content,title,description,time
"Sau Sơn Tùng M-TP và Hoàng Thùy Linh, Hari Won cũng ra mắt tự truyện của mình với tên gọi Cỏ hạnh phúc. Không chỉ tiết lộ về thời thơ ấu cơ cực, Hari Won còn thuật lại khoảng thời gian mới chia tay mối tình 9 năm Tiến Đạt. Có thể nói đây là lần đầu tiên nữ ca sĩ mở lòng và chia sẻ câu chuyện này sau khoảng thời gian dài lặng lẽ hứng chịu sự chỉ trích từ phía dư luận.

Trong cuốn tự truyện, Hari Won khẳng định tình yêu với Tiến Đạt là thật. Sau khi chia tay, mẹ của nam rapper cũng chủ động gọi điện cho cô. Mẹ hỏi tôi ổn không và có vượt qua được không. Sau nhiều cuộc điện thoại như thế, tôi lại khóc nhiều hơn. Mẹ nói, mẹ thương cả hai đứa, nhưng vì chữ duyên không còn, mẹ cũng không thể làm gì hơn. Mẹ ân cần bảo dù gì đi nữa con vẫn là con gái nuôi của mẹ - Hari Won nhớ lại.
Hậu đường ai nấy đi với Tiến Đạt, Hari Won công khai chuyện tình cảm với Trấn Thành chỉ 2 tháng sau đó. Ngay lập tức, cô đứng giữa tâm bão chỉ trích của công chúng. Rất nhiều lời lẽ gay gắt, phê phán liên tục nhắm đến giọng ca Yêu không hối hận. Biết được điều này, Tiến Đạt định lên tiếng bảo vệ Hari Won. Tuy nhiên, nữ ca sĩ đã ngăn lại.

Anh đừng nói thêm gì nữa cả, càng làm cho mọi người thấy anh cao thượng còn em xấu xa thôi. Em xin anh đừng nói gì cả. Em cũng sẽ im lặng. Em chỉ muốn nói với anh lời cuối này thôi, cả thế giới này chửi rủa em ra sao, thù ghét em thế nào, nói em là loại ăn cháo đá bát, nhưng chỉ riêng anh, anh đừng như thế. Việc mà anh có thể làm. Đó là xin lỗi em cả đời. Đó là điều anh nên làm, vì bản thân anh hiểu rõ nhất, em đã phải chịu đựng những gì - Hari Won nói với Tiến Đạt.
","
22:21 31/08/2017
"
"Ngày 31/8, Tòa án nhân dân tỉnh Đồng Nai xét xử sơ thẩm và tuyên phạt Phạm Tấn Hữu (19 tuổi) 12 năm tù, phạt K Hoàng Lộc (24 tuổi) 18 năm tù về tội danh Giết người.Theo cáo trạng, đêm 8/4, Hữu lái xe máy chở Lộc đi trên đường ở xã Sông Trầu, huyện Trảng Bom, Đồng Nai. Khi đến địa bàn ấp 4 (xã Sông Trầu), xe của 2 người này va chạm với xe máy do thanh niên (chưa rõ lai lịch) chạy chiều ngược lại nên ngã xuống đường. Tai nạn làm Hữu bị dập ngón tay. Sau va chạm, thấy thanh niên lạ mặt rời khỏi hiện trường nên Hữu và Lộc đuổi theo để đánh. Vì người lạ “biến mất” nên 2 người này vào khu nhà trọ gần đó để tìm kiếm. Tại đây, họ thấy anh Phạm Văn Nhật đứng ở cửa phòng trọ nên cho rằng anh này là người lái xe máy gây va chạm nên xông vào hành hung. Thấy Nhật bị đánh, anh Trì Văn Quân (30 tuổi, cậu ruột của Nhật) đến can ngăn nhưng không được. Lúc này, anh đấm vào mặt Lộc và đạp vào người Hữu và bị Lộc cầm dao đâm vào cổ, tử vong.",Hai thanh niên giết người sau va quẹt xe máy lĩnh án,"
Thấy người lạ mặt rời khỏi hiện trường sau khi va chạm xe, 2 thanh niên đuổi theo để đánh. Lúc đến khu nhà trọ, họ xông vào đánh người và dùng dao đâm chết nạn nhân.
","
22:07 31/08/2017
"
"Khoảng 13h ngày 5/9, trên đại lộ Nguyễn Tất Thành, đoạn thuộc xã Cam Hải Đông (huyện Cam Lâm, Khánh Hòa), xe tải biển số 79C, do Vũ Hoàng Khánh (45 tuổi) điều khiển, chở đầy cát chạy theo hướng từ đèo Cù Hin về trung tâm thành phố.Khi đến đoạn đường trên thì xe bị mất lái, đâm mạnh vào dải phân cách, lật ngang, hàng chục khối cát tràn ra đại lộ. Khoảng 10 m dải phân cách bị tông sập, đầu xe tải hư hỏng nặng, hàng chục lít dầu chảy tràn ra đường.Tài xế Khánh bị thương nặng sau tai nạn. Đến gần 15h30 cùng ngày, lực lượng công an vẫn đang tiến hành giải tỏa hiện trường, di chuyển xe và hàng chục khối cát tránh ùn tắc giao thông.","Xe tải tông sập dải phân cách, hàng chục khối cát tràn ra đại lộ","
Xe tải chở hàng chục khối cát bị mất lái, tông dải phân cách trên đại lộ Nguyễn Tất Thành (Khánh Hòa). Sau tai nạn, tài xế bị thương nặng, hàng chục lít dầu tràn ra đường.
","
16:05 05/09/2017
"
"Ngày 24/9, Công an huyện Hàm Thuận Nam (Bình Thuận) cho biết cơ quan này đang trích xuất các camera truy tìm chiếc xe trong vụ tai nạn làm anh Nguyễn Minh Quý (23 tuổi, ngụ tại Hàm Thuận Nam) tử vong, rồi bỏ trốn.Theo thông tin ban đầu, khoảng 22h30 ngày 23/9, anh Quý chạy xe máy chở bạn gái đi trên quốc lộ 1 theo hướng nam - bắc. Khi đến địa bàn xã Hàm Kiệm thì va chạm với ôtô cùng chiều.Cú va chạm mạnh làm anh Quý tử vong tại chỗ, người bạn gái bị thương nặng được người dân đưa đi cấp cứu. Sau khi gây tai nạn, tài xế ôtô đã điều khiển xe bỏ chạy khỏi hiện trường.Công an huyện Hàm Thuận Nam đã tiến hành khám nghiệm hiện trường, khám nghiệm tử thi điều tra nguyên nhân vụ tai nạn; đồng thời trích xuất camera trên đường truy tìm chiếc ôtô.",Truy tìm chiếc xe tông cặp tình nhân trên quốc lộ 1,"
Nam thanh niên chở người yêu đi trên quốc lộ thì va chạm với ôtô chạy cùng chiều, tử vong tại chỗ. Tài xế ôtô sau tai nạn đã điều khiển xe rời khỏi hiện trường.
","
12:37 24/09/2017
"
"Các nạn nhân tử vong do tai nạn đều xảy ra trên các cung đường bộ. Đường sắt có 1 vụ va chạm làm 2 người bị thương.CSGT cả nước kiểm tra và xử lý hơn 3.200 trường hợp vi phạm trật tự ATGT, tạm giữ 18 ôtô và trên 300 xe mô tô vi phạm, phạt tiền hơn 2,5 tỷ đồng.Trong ngày thứ 2 của dịp nghỉ lễ 2/9 năm nay, đường dây nóng của Ủy an ATGT Quốc gia nhận được khoảng 30 cuộc gọi và tin nhắn phản ánh về tình hình trật tự, an toàn giao thông.Người dân chủ yếu phản ánh tình trạng ùn tắc tại một số tuyến đường dẫn vào các khu du lịch, nghỉ dưỡng và trên một số tuyến quốc lộ. Sau khi nhận được phản ánh trên đường dây nóng, Ủy ban ATGT Quốc gia phối hợp các cơ quan chức năng địa phương xác minh và xử lý.Sáng 3/9, tàu SE3 Hà Nội - Sài Gòn khi qua khu Ngân Sơn - Thọ Lộc (huyện Bố Trạch, Quảng Bình) thì va chạm với máy xúc. Sự cố làm 1 toa xe cuối cùng bị lật ngang sang bên trái theo hướng tàu chạy, ra khỏi đường ray, 2 toa xe giáp nối bị trật bánh, đổ nghiêng.Ông Đoàn Duy Hoạch, Phó tổng giám đốc Tổng Công ty Đường sắt Việt Nam cho biết vụ tai nạn khiến tài xế lái máy xúc bị thương nhẹ. Tất cả hành khách trên tàu không ai bị thương. ",22 người tử vong do tai nạn đường bộ trong ngày thứ 2 nghỉ lễ 2/9,"
Trong ngày 3/9, toàn quốc xảy ra 35 vụ tai nạn giao thông đường bộ làm 22 người chết, hàng chục người khác bị thương. Số người tử vong tăng cao so với ngày đầu dịp nghỉ lễ 2/9.
","
15:52 03/09/2017
"
"Theo báo cáo của Ủy ban ATGT Quốc gia, trong ngày đầu tiên của dịp nghỉ lễ 2/9, cả nước xảy ra 15 vụ tai nạn giao thông đường bộ, làm 14 người tử vong và 9 người bị thương.Trước đó, ngày 1/9, toàn quốc xảy ra 22 vụ va chạm phương tiện làm 8 người chết và 18 nạn nhân bị thương.Ông Nguyễn Trọng Thái, Chánh Văn phòng Ủy ban ATGT Quốc gia cho biết, trong ngày 2/9, hệ thống của đơn vị tiếp nhận và xử lý khoảng 50 cuộc gọi và tin nhắn phản ánh tình trạng ùn tắc, xe khách nhồi nhét và tăng giá vé.Theo Cục CSGT, ngày đầu tiên của kỳ nghỉ lễ, CSGT cả nước xử lý trên 3.000 người vi phạm giao thông. Trong ngày, lực lượng chức năng đã xử phạt hành chính hơn 2 tỷ đồng, nộp Kho bạc Nhà nước.Trước đó, chiều 1/9, tại quốc lộ 39 đoạn qua thôn An Xã, xã Toàn Thắng, huyện Kim Động, tỉnh Hưng Yên xảy ra vụ tai nạn giao thông đặc biệt nghiêm trọng giữa 2 xe máy và một ôtô. Hậu quả làm 3 người trên xe máy tử vong tại chỗ trong đó có 2 học sinh lớp 9.Sau khi sự cố xảy ra, Phó thủ tướng thường trực Chính phủ, Chủ tịch Ủy ban ATGT Quốc gia Trương Hòa Bình đã gửi công điện yêu cầu Trưởng Ban ATGT tỉnh Hưng Yên chỉ đạo các đơn vị nhanh chóng khắc phục hậu quả vụ tai nạn. Khẩn trương điều tra, làm rõ nguyên nhân vụ tai nạn, xử lý nghiêm hành vi vi phạm theo quy định của pháp luật.",14 người chết vì tai nạn giao thông trong ngày đầu nghỉ lễ 2/9,"
Ủy ban ATGT Quốc gia cho biết ngày 2/9, toàn quốc xảy ra 15 vụ tai nạn giao thông đường bộ làm 14 người chết, 9 người khác bị thương.
","
19:23 02/09/2017
"
"Chiều 4/9, ông Nguyễn Trọng Thái, Chánh Văn phòng Ủy ban An toàn giao thông Quốc gia, cho biết theo báo cáo của Cục Cảnh sát giao thông (Bộ Công an), trong ba ngày nghỉ lễ Quốc khánh, cả nước xảy ra 75 vụ tai nạn giao thông, khiến 58 người tử vong và 58 người bị thương. Trong đó, một vụ tai nạn giao thông nghiêm trọng xảy ra vào chiều 1/9 tại Hưng Yên, khiến 3 người tử vong; một vụ tai nạn giao thông đường sắt làm tắc nghẽn tuyến đường sắt Bắc - Nam; ùn ứ giao thông trên một số tuyến cửa ngõ ra vào TP Hà Nội, TP.HCM, cầu Rạch Miễu, khu du lịch Mẫu Sơn, Cát Bà...So với kỳ nghỉ lễ Quốc khánh năm 2016, năm nay số vụ tai nạn và số người tử vong đều tăng. Cụ thể, 3 ngày nghỉ lễ năm ngoái xảy ra 71 vụ tai nạn giao thông; 33 người tử vong và 59 người bị thương.Trong ba ngày lễ, lực lượng CSGT xử lý 9.175 trường hợp vi phạm trật tự an toàn giao thông đường bộ, Kho bạc Nhà nước thu hơn 6,4 tỷ đồng, tạm giữ 65 ôtô, 997 xe máy. Lĩnh vực đường thủy có 976 trường hợp vi phạm, xử phạt 635 triệu đồng.Trong ba ngày nghỉ lễ Quốc khánh, đường dây nóng của Ủy ban An toàn giao thông quốc gia tiếp nhận và xử lý tất cả 131 cuộc gọi và tin nhắn phản ánh của người dân. Các thông tin phản ánh chủ yếu về tình trạng xe khách chở quá số lượng, nhồi nhét hành khách, tăng giá vé trái quy định và ùn ứ giao thông tại khu vực cửa ngõ Hà Nội, TP.HCM.",58 người thiệt mạng do tai nạn giao thông trong 3 ngày nghỉ lễ 2/9,"
Trong 3 ngày nghỉ lễ Quốc khánh, cả nước xảy ra 75 vụ tai nạn giao thông làm chết 58 người và 58 người bị thương.
","
22:35 04/09/2017
"
"Khoảng 13h20 ngày 7/9, taxi 4 chỗ mang biển kiểm soát TP.HCM, do tài xế Nguyễn Xuân Hoàng (42 tuổi, ngụ quận Bình Tân, TP.HCM) điều khiển, lưu thông theo hướng Sài Gòn về miền Tây. Khi chạy qua Km 1941 quốc lộ 1, thuộc ấp 7, xã Nhị Thành, huyện Thủ Thừa (Long An), chiếc xe bất ngờ bị nổ lốp trước, chao đảo rồi lật ngang.Cùng lúc đó, chiếc xe tải mang biển số Đắk Lắk chạy cùng chiều phía sau không tránh kịp, đã tông vào phần đầu taxi trước khi dừng lại. Tài xế taxi may mắn chỉ bị thương nhẹ và được người dân hỗ trợ đưa ra khỏi xe. Cảnh sát giao thông huyện Thủ Thừa đã có mặt tại hiện trường, làm rõ nguyên nhân tai nạn.","Taxi nổ lốp lật trên đường, tài xế thoát chết trong gang tấc","
Đang lưu thông trên quốc lộ 1 đoạn qua địa phận Long An, chiếc taxi nổ lốp trước, đâm vào dải phân cách rồi lật ngang trên đường.
","
16:48 07/09/2017
"
"Chiều 9/9, gia đình bà Vi Thị Canh (65 tuổi, ngụ thôn Khòn Thống, xã Hữu Khánh, huyện Lộc Bình, Lạng Sơn) tổ chức tang lễ cho người xấu số theo phong tục tập quán địa phương.Trước đó, trưa 7/9, bà Canh đi xe đạp từ chợ huyện Lộc Bình về nhà. Khi bà Canh đến km số 3, đường nhánh chính khu vực cửa khẩu Chi Ma (huyện Lộc Bình) thì bị ông Hà Văn Chạy (ngụ xã Hữu Khánh, Lộc Bình) điều khiển môtô đi cùng chiều đâm vào phía sau. Cả hai xe và người đều ngã xuống đường. Nhiều nhân chứng cho biết khi thấy bà Canh nằm bất động giữa đường, ông Chạy mắng vì cho rằng người này ăn vạ; rồi đi khỏi hiện trường. Người dân thấy vậy, điện thoại cho người nhà bà Canh đưa đi bệnh viện, nhưng nạn nhân đã tử vong sau đó. Cơ quan pháp y kết luận, bà Canh chấn thương sọ não, bị tụ máu trong não dày 7 mm.Hiện, công an huyện Lộc Bình đã triệu tập ông Chạy để làm việc, điều tra, xử lý.",Người phụ nữ tử vong do thủ phạm gây tai nạn bỏ mặc giữa đường,"
Bà Canh bị một người đàn ông đi môtô đâm từ phía sau, ngã xuống đường bất tỉnh. Người đàn ông thản nhiên bỏ mặc, đi khỏi hiện trường khiến nạn nhân tử vong.
","
18:17 09/09/2017
"
"Vụ tai nạn xảy ra vào 9h ngày 8/9 tại ngã tư 550 (phường Bình Hòa, thị xã Thuận An, Bình Dương). Thời gian này, xe đầu kéo container mang biển số TP.HCM lưu thông trên đường ĐT 743 hướng từ thị xã Dĩ An ra quốc lộ 13.Khi đến ngã tư thì ôtô này va chạm với xe máy cùng chiều do người đàn ông 45 tuổi (chưa rõ lai lịch) điều khiển chở theo người vợ. Tai nạn làm 2 nạn nhân ngã xuống đường. Người chồng bị thương nặng trong khi vợ ông này bị ôtô đầu kéo cán qua người, tử vong tại chỗ. VTheo người chồng, sáng cùng ngày, ông chở vợ đến một công ty xin việc làm. Khi đang về phòng trọ thì bị tai nạn. L","Chồng bị thương, vợ tử vong trên đường xin việc","
Trên đường đi xin việc về, xe máy của người đàn ông va chạm với ôtô đầu kéo container nên 2 vợ chồng ngã xuống đường. Người đàn ông bị thương nặng trong khi vợ tử vong.
","
12:40 08/09/2017
"
